"","text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude"
"272","17 of 365

Kruger udah ngamuk sebagai perintis.. semoga tidak ada titan karna vaksin :(",FALSE,0,NA,2021-01-16 17:46:54,FALSE,NA,"1350499783497039872",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","Andimappai",0,FALSE,FALSE,NA,NA
"273","Daftar Efek Samping Vaksin Covid-19, Jadi Titan Nggak Termasuk https://t.co/lnzRHbTjvX via @radar_malang",FALSE,0,NA,2021-01-16 17:22:52,FALSE,NA,"1350493735440719872",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","vandicham",0,FALSE,FALSE,NA,NA
"274","@nita_________ Apa iya suntik vaksin bisa berubah jadi Titan?",FALSE,0,"nita_________",2021-01-16 17:14:41,FALSE,"1350477437134491649","1350491676888846336","1159620928763908096","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","Rinoo_rv",0,FALSE,FALSE,NA,NA
"275","@dyo_sucahya @yophadong Heiheiheiii obat nya udah jadi vaksin titan",FALSE,0,"dyo_sucahya",2021-01-16 17:03:20,FALSE,"1350287594785935364","1350488821377323013","1019036899564924929","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","namasayabetaaa",0,FALSE,FALSE,NA,NA
"276","RT @podcastretropus: Emang bener ya abis disuntik vaksin bisa berubah jadi Titan?

#KomikMasMas https://t.co/oMXveFLkr1",FALSE,0,NA,2021-01-16 16:59:46,FALSE,NA,"1350487925373370368",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","obadiah2203",46,TRUE,FALSE,NA,NA
"277","RT @berflovver: bro bro liat bro gw punya meme aot nih bro aaaaa vaksin titan lucu banget bro aaaaa buruan ritwit bro aaaaarrrgghhh",FALSE,0,NA,2021-01-16 16:43:51,FALSE,NA,"1350483919867506693",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","ngapucchi",58,TRUE,FALSE,NA,NA
"278","Besok mau vaksin, bismillah Armored titan.. https://t.co/JZUbczWrVV",FALSE,2,NA,2021-01-16 16:41:55,FALSE,NA,"1350483430476115968",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","RyukiWik",0,FALSE,FALSE,NA,NA
"279","RT @podcastretropus: Emang bener ya abis disuntik vaksin bisa berubah jadi Titan?

#KomikMasMas https://t.co/oMXveFLkr1",FALSE,0,NA,2021-01-16 16:39:42,FALSE,NA,"1350482875515244544",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","roulihutahaean",46,TRUE,FALSE,NA,NA
"280","RT @podcastretropus: Emang bener ya abis disuntik vaksin bisa berubah jadi Titan?

#KomikMasMas https://t.co/oMXveFLkr1",FALSE,0,NA,2021-01-16 16:33:16,FALSE,NA,"1350481255616270337",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","byump3",46,TRUE,FALSE,NA,NA
"281","@txtdarigajelas di vaksin jadi titan <U+274C>
di vaksin bisa nembur ruang dan waktu <U+2714><U+FE0F>",FALSE,0,"txtdarigajelas",2021-01-16 16:30:19,FALSE,"1350251149283139585","1350480511378944001","1316441034117718016","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","Jayembottt",0,FALSE,FALSE,NA,NA
"282","RT @podcastretropus: Emang bener ya abis disuntik vaksin bisa berubah jadi Titan?

#KomikMasMas https://t.co/oMXveFLkr1",FALSE,0,NA,2021-01-16 16:30:17,FALSE,NA,"1350480504085090306",NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","cryoncat",46,TRUE,FALSE,NA,NA
"283","@Rifkidicariin Persiapan sebelum vaksin titan",FALSE,0,"Rifkidicariin",2021-01-16 16:05:27,FALSE,"1350454587765841920","1350474254844784641","1287289328","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","shenajati",0,FALSE,FALSE,NA,NA
"284","@karyawanmiya diem ajg, gue nanti pengen  gacha vaksin biar dapet founding titan.",FALSE,0,"karyawanmiya",2021-01-16 16:05:25,FALSE,"1350472521838112768","1350474248020652034","1238727306916409346","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","dinoluvca",0,FALSE,FALSE,NA,NA
"285","RT @podcastretropus: Emang bener ya abis disuntik vaksin bisa berubah jadi Titan?

#KomikMasMas https://t.co/oMXveFLkr1",FALSE,0,NA,2021-01-16 16:03:58,FALSE,NA,"1350473881446883328",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","bmzakky",46,TRUE,FALSE,NA,NA
